Timestamp,X,Y,Z
22-May-2021 11:42:54.146,-0.488417,9.890448,1.053449
22-May-2021 11:42:54.161,-0.715866,9.919178,1.553837
22-May-2021 11:42:54.176,-0.519542,10.012551,1.881842
22-May-2021 11:42:54.191,0.234632,9.890448,1.54426
22-May-2021 11:42:54.206,0.646434,9.713276,0.847547
22-May-2021 11:42:54.221,0.335188,9.631873,-0.270545
22-May-2021 11:42:54.236,0.696713,10.079589,0.591368
22-May-2021 11:42:54.251,0.447716,10.66138,1.640028
22-May-2021 11:42:54.266,-0.289698,10.761936,2.559402
22-May-2021 11:42:54.281,-0.85473,10.884041,3.287239
22-May-2021 11:42:54.296,-0.897826,10.793061,3.598485
22-May-2021 11:42:54.311,-1.077391,10.845734,2.786851
22-May-2021 11:42:54.326,0.222661,10.417171,1.833959
22-May-2021 11:42:54.341,0.251391,9.938332,1.053449
22-May-2021 11:42:54.356,-0.667982,9.813833,1.388637
22-May-2021 11:42:54.371,-0.622492,9.481039,1.673547
22-May-2021 11:42:54.386,0.184354,9.28232,1.759738
22-May-2021 11:42:54.401,0.328006,9.361329,2.169147
22-May-2021 11:42:54.416,0.378284,9.469068,2.303222
22-May-2021 11:42:54.431,0.94571,9.279925,1.017536
22-May-2021 11:42:54.446,0.866701,9.581595,0.627281
22-May-2021 11:42:54.461,0.744597,9.313444,0.086191
22-May-2021 11:42:54.476,0.893037,9.246407,-0.723049
22-May-2021 11:42:54.491,0.385466,9.215282,-0.270545
22-May-2021 11:42:54.506,0.023942,9.442732,1.036689
22-May-2021 11:42:54.521,0.679953,9.212888,2.128445
22-May-2021 11:42:54.536,0.916979,9.28232,1.620875
22-May-2021 11:42:54.551,0.624887,9.368511,1.098939
22-May-2021 11:42:54.566,0.318429,9.397242,1.089362
22-May-2021 11:42:54.581,0.557849,9.263166,1.35033
22-May-2021 11:42:54.596,-0.237026,9.382876,1.568202
22-May-2021 11:42:54.611,-0.976834,9.617508,1.151611
22-May-2021 11:42:54.626,-0.457293,9.579201,0.665588
22-May-2021 11:42:54.641,-0.560243,9.684546,0.984017
22-May-2021 11:42:54.656,-0.481235,9.720459,1.426944
22-May-2021 11:42:54.671,-0.071826,9.770737,1.587356
22-May-2021 11:42:54.686,-0.071826,9.856929,1.532289
22-May-2021 11:42:54.700,0.237026,9.61272,0.792481
22-May-2021 11:42:54.716,0.332794,9.514558,0.924162
22-May-2021 11:42:54.731,-0.260968,9.734824,1.319205
22-May-2021 11:42:54.746,-0.158017,9.809045,1.546654
22-May-2021 11:42:54.761,0.033519,9.773131,1.553837
22-May-2021 11:42:54.776,0.105345,9.636662,1.412579
22-May-2021 11:42:54.791,-0.124498,9.631873,1.165976
22-May-2021 11:42:54.806,-0.148441,9.65821,1.240196
22-May-2021 11:42:54.821,-0.02873,9.672575,1.436521
22-May-2021 11:42:54.836,-0.093374,9.617508,1.307234
22-May-2021 11:42:54.851,-0.057461,9.737218,1.723825
22-May-2021 11:42:54.866,-0.038307,9.828198,2.030283
22-May-2021 11:42:54.881,-0.11971,9.691729,1.929727
22-May-2021 11:42:54.896,-0.28491,9.715671,1.426944
22-May-2021 11:42:54.911,-0.402226,9.876082,1.467646
22-May-2021 11:42:54.926,-0.095768,9.801862,1.45328
22-May-2021 11:42:54.941,0.007183,9.933543,1.472434
22-May-2021 11:42:54.956,0.148441,9.955091,1.534683
22-May-2021 11:42:54.971,0.131681,9.756371,1.647211
22-May-2021 11:42:54.986,0.100556,9.844957,1.900996
22-May-2021 11:42:55.001,0.117316,9.744401,1.541866
22-May-2021 11:42:55.016,0.383072,9.619903,1.357512
22-May-2021 11:42:55.031,0.270545,9.634268,1.422156
22-May-2021 11:42:55.046,-0.064643,9.835381,1.577779
22-May-2021 11:42:55.061,-0.198719,9.773131,1.84593
22-May-2021 11:42:55.076,0.162806,9.660604,1.702277
22-May-2021 11:42:55.091,0.354342,9.722853,1.632846
22-May-2021 11:42:55.106,0.160412,9.696517,1.493982
22-May-2021 11:42:55.121,0.095768,9.718064,1.486799
22-May-2021 11:42:55.136,-0.153229,9.77792,1.836353
22-May-2021 11:42:55.151,0.347159,10.050858,2.142811
22-May-2021 11:42:55.166,0.347159,10.31901,2.329558
22-May-2021 11:42:55.181,0.229843,10.314221,2.468422
22-May-2021 11:42:55.196,-0.107739,10.453085,2.200271
22-May-2021 11:42:55.211,-0.225055,10.417171,2.008735
22-May-2021 11:42:55.226,-0.258574,10.283096,2.006341
22-May-2021 11:42:55.241,-0.208296,10.125079,1.867477
22-May-2021 11:42:55.256,0.117316,10.170568,1.936909
22-May-2021 11:42:55.271,-0.136469,10.022128,2.03986
22-May-2021 11:42:55.286,0.308852,9.849746,1.987187
22-May-2021 11:42:55.301,0.622492,9.730036,1.788469
22-May-2021 11:42:55.316,0.670376,9.562442,1.592144
22-May-2021 11:42:55.331,0.70629,9.531317,1.78368
22-May-2021 11:42:55.346,0.519542,9.818622,1.963245
22-May-2021 11:42:55.361,0.390255,9.921572,2.164358
22-May-2021 11:42:55.376,0.392649,9.756371,1.869871
22-May-2021 11:42:55.391,0.177171,9.627085,1.78368
22-May-2021 11:42:55.406,0.292093,9.560047,1.702277
22-May-2021 11:42:55.421,0.418985,9.526528,1.551443
22-May-2021 11:42:55.436,0.670376,9.574412,1.477222
22-May-2021 11:42:55.451,0.699107,9.586384,1.599327
22-May-2021 11:42:55.466,0.581791,9.512163,1.63524
22-May-2021 11:42:55.481,0.459687,9.507375,1.534683
22-May-2021 11:42:55.496,0.47884,9.581595,1.54426
22-May-2021 11:42:55.511,0.471658,9.514558,1.520318
22-May-2021 11:42:55.526,0.68953,9.349358,0.943315
22-May-2021 11:42:55.541,0.454898,9.23683,0.938527
22-May-2021 11:42:55.556,-0.033519,9.449914,1.161188
22-May-2021 11:42:55.571,-0.086191,9.421184,1.582567
22-May-2021 11:42:55.586,0.093374,9.351752,1.312023
22-May-2021 11:42:55.601,0.311246,9.457097,1.450886
22-May-2021 11:42:55.616,0.275333,9.469068,1.175553
22-May-2021 11:42:55.631,0.296881,9.509769,1.374272
22-May-2021 11:42:55.646,0.591368,9.55047,1.357512
22-May-2021 11:42:55.661,0.567426,9.552865,1.369483
22-May-2021 11:42:55.676,0.378284,9.411607,1.491588
22-May-2021 11:42:55.691,-0.280122,9.698911,1.714248
22-May-2021 11:42:55.706,-0.014365,9.900024,1.788469
22-May-2021 11:42:55.721,0.411803,9.583989,1.120486
22-May-2021 11:42:55.736,0.047884,9.342175,1.90339
22-May-2021 11:42:55.751,-0.038307,9.701305,1.685518
22-May-2021 11:42:55.766,0.390255,9.749189,0.502782
22-May-2021 11:42:55.781,0.584185,9.449914,1.175553
22-May-2021 11:42:55.796,0.380678,9.667787,1.61848
22-May-2021 11:42:55.811,0.787692,9.631873,1.101333
22-May-2021 11:42:55.826,0.634463,9.461885,1.941698
22-May-2021 11:42:55.841,0.905008,9.52174,1.527501
22-May-2021 11:42:55.856,0.6608,9.545682,1.879448
22-May-2021 11:42:55.871,0.3304,9.835381,3.047819
22-May-2021 11:42:55.886,0.653617,9.85214,2.973598
22-May-2021 11:42:55.901,0.88346,9.655815,4.077325
22-May-2021 11:42:55.916,1.25935,9.593566,3.277662
22-May-2021 11:42:55.931,1.04866,9.73243,2.11408
22-May-2021 11:42:55.946,0.905008,9.244013,0.768539
22-May-2021 11:42:55.961,0.725443,9.44752,-0.476446
22-May-2021 11:42:55.976,-0.380678,10.206482,-0.881066
22-May-2021 11:42:55.991,-0.711078,10.658986,0.407014
22-May-2021 11:42:56.006,-0.567426,10.103531,0.45011
22-May-2021 11:42:56.021,-0.067038,9.497798,1.405396
22-May-2021 11:42:56.036,0.07422,9.861717,2.1883
22-May-2021 11:42:56.051,0.126893,9.818622,2.181118
22-May-2021 11:42:56.066,0.179565,9.667787,2.003947
22-May-2021 11:42:56.081,0.134075,9.552865,2.027889
22-May-2021 11:42:56.096,-0.244209,9.624691,1.90339
22-May-2021 11:42:56.111,-0.205901,9.799467,1.25935
22-May-2021 11:42:56.126,-0.332794,9.866506,1.051055
22-May-2021 11:42:56.141,-0.241814,9.85214,1.474828
22-May-2021 11:42:56.156,-0.043096,9.653421,1.434127
22-May-2021 11:42:56.171,-0.129287,9.677363,1.570596
22-May-2021 11:42:56.186,-0.155623,9.581595,1.61848
22-May-2021 11:42:56.201,0.059855,9.481039,1.781286
22-May-2021 11:42:56.216,-0.069432,9.524135,2.054225
22-May-2021 11:42:56.231,-0.059855,9.569624,1.90339
