Timestamp,X,Y,Z
22-May-2021 11:42:55.542,-12,7.2,-47.219997
22-May-2021 11:42:55.557,-11.759999,6.78,-47.34
22-May-2021 11:42:55.572,-12.059999,6.12,-46.919998
22-May-2021 11:42:55.587,-12.059999,5.76,-46.619999
22-May-2021 11:42:55.602,-12.179999,5.16,-47.039997
22-May-2021 11:42:55.617,-12.3,5.16,-47.219997
22-May-2021 11:42:55.632,-12.36,6,-47.939999
22-May-2021 11:42:55.647,-12.719999,6.3,-48.059998
22-May-2021 11:42:55.662,-12.66,6.66,-48.059998
22-May-2021 11:42:55.677,-12.96,7.08,-48.059998
22-May-2021 11:42:55.692,-12.96,7.02,-47.879997
22-May-2021 11:42:55.707,-12.48,7.02,-47.639999
22-May-2021 11:42:55.722,-12.3,7.26,-47.399998
22-May-2021 11:42:55.737,-12,7.02,-47.639999
22-May-2021 11:42:55.752,-12.059999,6.66,-47.879997
22-May-2021 11:42:55.767,-12.42,6.6,-47.939999
22-May-2021 11:42:55.782,-12.48,6.24,-47.759998
22-May-2021 11:42:55.797,-12.599999,6.48,-47.039997
22-May-2021 11:42:55.812,-12.78,6.9,-46.379997
22-May-2021 11:42:55.827,-12.78,7.26,-46.559998
22-May-2021 11:42:55.842,-13.139999,7.32,-46.799999
22-May-2021 11:42:55.857,-13.139999,7.32,-46.860001
22-May-2021 11:42:55.872,-12.719999,7.02,-47.219997
22-May-2021 11:42:55.887,-12.96,6.48,-46.98
22-May-2021 11:42:55.902,-12.9,7.2,-47.16
22-May-2021 11:42:55.917,-13.2,6.84,-46.860001
22-May-2021 11:42:55.932,-13.38,6.6,-46.5
22-May-2021 11:42:55.946,-12.66,6.6,-46.379997
22-May-2021 11:42:55.962,-12.179999,5.88,-45.899998
22-May-2021 11:42:55.977,-11.88,5.88,-46.32
22-May-2021 11:42:55.992,-11.639999,5.7,-46.259998
22-May-2021 11:42:56.007,-12.12,5.58,-45.599998
22-May-2021 11:42:56.022,-12.179999,5.34,-45.419998
22-May-2021 11:42:56.037,-12.179999,4.98,-45.360001
22-May-2021 11:42:56.052,-12.42,4.74,-45.779999
22-May-2021 11:42:56.067,-12.3,4.62,-46.139999
22-May-2021 11:42:56.082,-12.42,4.56,-46.559998
22-May-2021 11:42:56.097,-12.179999,4.86,-46.619999
22-May-2021 11:42:56.112,-11.759999,4.62,-46.379997
22-May-2021 11:42:56.127,-11.58,4.68,-47.099998
22-May-2021 11:42:56.142,-11.58,4.68,-47.279999
22-May-2021 11:42:56.157,-11.82,4.14,-47.879997
22-May-2021 11:42:56.172,-11.82,4.26,-48.119999
22-May-2021 11:42:56.187,-12.12,4.26,-48.360001
22-May-2021 11:42:56.202,-12.179999,4.92,-48.299999
22-May-2021 11:42:56.217,-12.179999,5.34,-48.719997
22-May-2021 11:42:56.232,-12.36,5.46,-49.439999
22-May-2021 11:42:56.247,-12.059999,5.64,-49.200001
22-May-2021 11:42:56.262,-12,5.16,-49.739998
22-May-2021 11:42:56.277,-11.7,5.04,-48.899998
22-May-2021 11:42:56.292,-11.88,5.28,-48.66
22-May-2021 11:42:56.307,-12.24,5.46,-48.84
22-May-2021 11:42:56.322,-12.48,5.46,-48.599998
22-May-2021 11:42:56.336,-12.3,5.58,-49.02
22-May-2021 11:42:56.352,-12.12,5.76,-48.84
22-May-2021 11:42:56.367,-12.179999,5.58,-49.079998
22-May-2021 11:42:56.382,-12.42,5.94,-49.259998
22-May-2021 11:42:56.397,-13.2,6.36,-49.68
22-May-2021 11:42:56.412,-13.259999,6,-50.039997
22-May-2021 11:42:56.427,-12.84,5.76,-49.860001
22-May-2021 11:42:56.442,-12.3,5.46,-49.98
22-May-2021 11:42:56.457,-11.88,4.74,-49.439999
22-May-2021 11:42:56.472,-11.88,4.62,-49.259998
22-May-2021 11:42:56.487,-11.94,4.44,-49.139999
22-May-2021 11:42:56.502,-11.88,3.78,-49.139999
22-May-2021 11:42:56.517,-12.059999,3.84,-49.379997
22-May-2021 11:42:56.532,-12,3.6,-49.739998
22-May-2021 11:42:56.547,-12.179999,3.18,-49.739998
22-May-2021 11:42:56.562,-12.599999,2.64,-49.439999
22-May-2021 11:42:56.577,-12.599999,1.86,-49.98
22-May-2021 11:42:56.592,-12.3,1.38,-49.68
